room_id;room_type;city;borough;neighborhood;reviews;overall_satisfaction;accommodates;bedrooms;price;property_type
3732200;Shared room;Sao Paulo;SAO PAULO;Mooca;0;0.0;5;1.0;47.0;House
2247926;Shared room;Sao Paulo;SAO PAULO;Pinheiros;0;0.0;16;1.0;21.0;Bed & Breakfast
2674673;Shared room;Sao Paulo;SAO PAULO;Itaquera;0;0.0;8;1.0;311.0;House
2996011;Shared room;Sao Paulo;SAO PAULO;Penha;0;0.0;5;1.0;389.0;Apartment
2939182;Shared room;Sao Paulo;SAO PAULO;Iguatemi;0;0.0;4;1.0;311.0;House
18219827;Shared room;Sao Paulo;SAO PAULO;Santa Cecília;0;0.0;3;1.0;515.0;Apartment
15653586;Shared room;Sao Paulo;SAO PAULO;Bela Vista;0;0.0;1;1.0;392.0;Apartment
2662786;Shared room;Sao Paulo;SAO PAULO;Sacomã;0;0.0;3;1.0;311.0;House
2863791;Shared room;Sao Paulo;SAO PAULO;Bom Retiro;0;0.0;3;1.0;249.0;House
9441696;Shared room;Sao Paulo;SAO PAULO;República;0;0.0;2;1.0;280.0;Apartment
2552603;Shared room;Sao Paulo;SAO PAULO;Bela Vista;0;0.0;4;1.0;309.0;Apartment
2778054;Shared room;Sao Paulo;SAO PAULO;Bela Vista;0;0.0;2;1.0;186.0;Apartment
3704111;Shared room;Sao Paulo;SAO PAULO;Cambuci;0;0.0;2;1.0;203.0;Apartment
17443158;Shared room;Sao Paulo;SANTO ANDRE;Santo André;0;0.0;1;1.0;186.0;Apartment
4376836;Shared room;Sao Paulo;SAO PAULO;Mooca;0;0.0;4;1.0;156.0;House
859003;Shared room;Sao Paulo;SAO PAULO;Vila Mariana;0;0.0;6;1.0;165.0;Other
10176513;Shared room;Sao Paulo;SAO PAULO;Barra Funda;0;0.0;1;1.0;155.0;Apartment
15842084;Shared room;Sao Paulo;SAO PAULO;Cursino;0;0.0;1;1.0;156.0;Apartment
12207794;Shared room;Sao Paulo;SAO PAULO;Jardim Paulista;0;0.0;5;1.0;140.0;Apartment
7037118;Shared room;Sao Paulo;SAO PAULO;Jardim Paulista;0;0.0;1;1.0;125.0;Apartment
17154044;Shared room;Sao Paulo;SAO PAULO;Pinheiros;0;0.0;6;1.0;125.0;Hostel
15954645;Shared room;Sao Paulo;SAO PAULO;Moema;0;0.0;6;1.0;142.0;House
2158393;Shared room;Sao Paulo;SAO PAULO;Consolação;0;0.0;2;1.0;123.0;Apartment
1046581;Shared room;Sao Paulo;CARAPICUIBA;Carapicuíba;0;0.0;4;1.0;109.0;Apartment
3067381;Shared room;Sao Paulo;SAO PAULO;Ipiranga;0;0.0;4;1.0;103.0;Apartment
1906897;Shared room;Sao Paulo;SAO PAULO;Pinheiros;0;0.0;2;1.0;94.0;Apartment
3362963;Shared room;Sao Paulo;SAO PAULO;Bela Vista;0;0.0;1;1.0;103.0;Apartment
2137868;Shared room;Sao Paulo;SAO PAULO;José Bonifácio;0;0.0;16;1.0;103.0;Apartment
2785779;Shared room;Sao Paulo;SAO PAULO;José Bonifácio;0;0.0;2;1.0;94.0;Apartment
2950580;Shared room;Sao Paulo;SAO PAULO;Cidade Líder;0;0.0;4;1.0;103.0;House
13572398;Shared room;Sao Paulo;SAO PAULO;Santa Cecília;0;0.0;1;1.0;93.0;Apartment
3029898;Shared room;Sao Paulo;SAO PAULO;Saúde;0;0.0;2;1.0;94.0;House
656537;Shared room;Sao Paulo;SAO PAULO;Vila Mariana;2;0.0;16;1.0;103.0;Other
